,title,geo_accession,status,submission_date,last_update_date,type,channel_count,source_name_ch1,organism_ch1,taxid_ch1,characteristics_ch1,growth_protocol_ch1,molecule_ch1,extract_protocol_ch1,description,data_processing,platform_id,contact_name,contact_email,contact_laboratory,contact_department,contact_institute,contact_address,contact_city,contact_state,contact_zip/postal_code,contact_country,instrument_model,library_selection,library_source,library_strategy,relation,supplementary_file_1,series_id,data_row_count,Assay Type,BioProject,BioSample,Cell_type,Center Name,Consent,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Patient,Platform,Sample Name,source_name,SRA Study,Mouse_ID,treatment,cell_status,library,read_length,read_length_description,tumor_abbreviation,tumor_name,source,tumor_subtype,pooled_or_single,group_assign,leiden,Melanocyte,Hepatocyte,Epithelial cell,Fibroblast,Endothelial cell,B/Plasma cell,T/NK cell,Macro/Mono/DC,Oligodendrocyte,Neuron,Astrocyte,HSC,cell_type,confidence,donor,cell_label
SRR3654858,single-cell RNA-seq M1288 LRC_6,GSM2195040,Public on Dec 06 2016,Jun 09 2016,May 15 2019,SRA,1,PDX Sample ALL-265,Homo sapiens,9606,patient: BCP-ALL pediatric__mouse id: NOD scid gamma__cell type: PDX cell__cell status: LRC,human patient cells are grown as patient-derived xenograft cells in immunodeficient NOD scid gamma mice and re-isolated from bone marrow,total RNA,"cDNA synthesis protocol: cells were loaded on the 10-17 μm mRNA-seq IFC (Fluidigm) with ERCC spike-in controls. Cell lysis, reverse transcription and pre-amplification of cDNA was done on-chip using the SMARTer Ultra Low RNA Kit for C1 (Clontech).__0.2-1 ng of pre-amplified cDNA was used as input for tagmentation by the Nextera XT Sample Preparation Kit (Illumina), where amplification was performed for 12-14 PCR cycles.__Cells were isolated from the murine bone marrow, enriched by a MACS step and sorted for the population of interest. All steps were performed at 4°C.",LRC_6__processed data file: single_cell_countdata_LRC_validcells.txt,"Sequencing reads were demultiplexed from the Nextera (i5 and i7) indices using deML (Renaud 2014, Bioinformatics)__Demultiplexed reads were aligned to the human genome (hg19) and ERCC reference using NextGenMap (Sedlazeck et al., 2013)__Count data was generated from mapped reads using featureCounts (Liao et al., 2014) on ENSEMBL gene models (GRCh38.74)__Genome_build: hg19__Supplementary_files_format_and_content: [.txt] processed data files are text files with count data, where columns equal to samples and rows equal to genes",GPL18460,"Christoph,,Ziegenhain",ziegenhain@bio.lmu.de,Anthropology & Human genomics,Department Biology II,Ludwig-Maximilians University Munich,Großhaderner Str. 2,Martinsried,Bavaria,82152,Germany,Illumina HiSeq 1500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05220086__SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1835180,NONE,GSE83142,0,RNA-Seq,PRJNA325123,SAMN05220086,PDX cell,GEO,public,SRX1835180,GSM2195040,Illumina HiSeq 1500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,BCP-ALL pediatric,ILLUMINA,GSM2195040,PDX Sample ALL-265,SRP076334,NOD scid gamma,NA,LRC,single-end,51,51 bp,ALL,Acute lymphoblastic leukemia,PDX,BCP-ALL pediatric,Single-cell,LRC,1,0,0,0,0,0,1,0,0,0,0,0,1,B/Plasma cell,Clear,BCP-ALL pediatric,Malignant cell
SRR3654859,single-cell RNA-seq M1288 LRC_7,GSM2195041,Public on Dec 06 2016,Jun 09 2016,May 15 2019,SRA,1,PDX Sample ALL-265,Homo sapiens,9606,patient: BCP-ALL pediatric__mouse id: NOD scid gamma__cell type: PDX cell__cell status: LRC,human patient cells are grown as patient-derived xenograft cells in immunodeficient NOD scid gamma mice and re-isolated from bone marrow,total RNA,"cDNA synthesis protocol: cells were loaded on the 10-17 μm mRNA-seq IFC (Fluidigm) with ERCC spike-in controls. Cell lysis, reverse transcription and pre-amplification of cDNA was done on-chip using the SMARTer Ultra Low RNA Kit for C1 (Clontech).__0.2-1 ng of pre-amplified cDNA was used as input for tagmentation by the Nextera XT Sample Preparation Kit (Illumina), where amplification was performed for 12-14 PCR cycles.__Cells were isolated from the murine bone marrow, enriched by a MACS step and sorted for the population of interest. All steps were performed at 4°C.",LRC_7__processed data file: single_cell_countdata_LRC_validcells.txt,"Sequencing reads were demultiplexed from the Nextera (i5 and i7) indices using deML (Renaud 2014, Bioinformatics)__Demultiplexed reads were aligned to the human genome (hg19) and ERCC reference using NextGenMap (Sedlazeck et al., 2013)__Count data was generated from mapped reads using featureCounts (Liao et al., 2014) on ENSEMBL gene models (GRCh38.74)__Genome_build: hg19__Supplementary_files_format_and_content: [.txt] processed data files are text files with count data, where columns equal to samples and rows equal to genes",GPL18460,"Christoph,,Ziegenhain",ziegenhain@bio.lmu.de,Anthropology & Human genomics,Department Biology II,Ludwig-Maximilians University Munich,Großhaderner Str. 2,Martinsried,Bavaria,82152,Germany,Illumina HiSeq 1500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05220087__SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1835181,NONE,GSE83142,0,RNA-Seq,PRJNA325123,SAMN05220087,PDX cell,GEO,public,SRX1835181,GSM2195041,Illumina HiSeq 1500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,BCP-ALL pediatric,ILLUMINA,GSM2195041,PDX Sample ALL-265,SRP076334,NOD scid gamma,NA,LRC,single-end,51,51 bp,ALL,Acute lymphoblastic leukemia,PDX,BCP-ALL pediatric,Single-cell,LRC,1,0,0,0,0,0,1,0,0,0,0,0,1,B/Plasma cell,Clear,BCP-ALL pediatric,Malignant cell
SRR3654860,single-cell RNA-seq M1288 LRC_12,GSM2195042,Public on Dec 06 2016,Jun 09 2016,May 15 2019,SRA,1,PDX Sample ALL-265,Homo sapiens,9606,patient: BCP-ALL pediatric__mouse id: NOD scid gamma__cell type: PDX cell__cell status: LRC,human patient cells are grown as patient-derived xenograft cells in immunodeficient NOD scid gamma mice and re-isolated from bone marrow,total RNA,"cDNA synthesis protocol: cells were loaded on the 10-17 μm mRNA-seq IFC (Fluidigm) with ERCC spike-in controls. Cell lysis, reverse transcription and pre-amplification of cDNA was done on-chip using the SMARTer Ultra Low RNA Kit for C1 (Clontech).__0.2-1 ng of pre-amplified cDNA was used as input for tagmentation by the Nextera XT Sample Preparation Kit (Illumina), where amplification was performed for 12-14 PCR cycles.__Cells were isolated from the murine bone marrow, enriched by a MACS step and sorted for the population of interest. All steps were performed at 4°C.",LRC_12__processed data file: single_cell_countdata_LRC_validcells.txt,"Sequencing reads were demultiplexed from the Nextera (i5 and i7) indices using deML (Renaud 2014, Bioinformatics)__Demultiplexed reads were aligned to the human genome (hg19) and ERCC reference using NextGenMap (Sedlazeck et al., 2013)__Count data was generated from mapped reads using featureCounts (Liao et al., 2014) on ENSEMBL gene models (GRCh38.74)__Genome_build: hg19__Supplementary_files_format_and_content: [.txt] processed data files are text files with count data, where columns equal to samples and rows equal to genes",GPL18460,"Christoph,,Ziegenhain",ziegenhain@bio.lmu.de,Anthropology & Human genomics,Department Biology II,Ludwig-Maximilians University Munich,Großhaderner Str. 2,Martinsried,Bavaria,82152,Germany,Illumina HiSeq 1500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05220088__SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1835182,NONE,GSE83142,0,RNA-Seq,PRJNA325123,SAMN05220088,PDX cell,GEO,public,SRX1835182,GSM2195042,Illumina HiSeq 1500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,BCP-ALL pediatric,ILLUMINA,GSM2195042,PDX Sample ALL-265,SRP076334,NOD scid gamma,NA,LRC,single-end,51,51 bp,ALL,Acute lymphoblastic leukemia,PDX,BCP-ALL pediatric,Single-cell,LRC,1,0,0,0,0,0,0,1,0,0,0,0,1,B/Plasma cell,Clear,BCP-ALL pediatric,Malignant cell
SRR3654861,single-cell RNA-seq M1288 LRC_22,GSM2195043,Public on Dec 06 2016,Jun 09 2016,May 15 2019,SRA,1,PDX Sample ALL-265,Homo sapiens,9606,patient: BCP-ALL pediatric__mouse id: NOD scid gamma__cell type: PDX cell__cell status: LRC,human patient cells are grown as patient-derived xenograft cells in immunodeficient NOD scid gamma mice and re-isolated from bone marrow,total RNA,"cDNA synthesis protocol: cells were loaded on the 10-17 μm mRNA-seq IFC (Fluidigm) with ERCC spike-in controls. Cell lysis, reverse transcription and pre-amplification of cDNA was done on-chip using the SMARTer Ultra Low RNA Kit for C1 (Clontech).__0.2-1 ng of pre-amplified cDNA was used as input for tagmentation by the Nextera XT Sample Preparation Kit (Illumina), where amplification was performed for 12-14 PCR cycles.__Cells were isolated from the murine bone marrow, enriched by a MACS step and sorted for the population of interest. All steps were performed at 4°C.",LRC_22__processed data file: single_cell_countdata_LRC_validcells.txt,"Sequencing reads were demultiplexed from the Nextera (i5 and i7) indices using deML (Renaud 2014, Bioinformatics)__Demultiplexed reads were aligned to the human genome (hg19) and ERCC reference using NextGenMap (Sedlazeck et al., 2013)__Count data was generated from mapped reads using featureCounts (Liao et al., 2014) on ENSEMBL gene models (GRCh38.74)__Genome_build: hg19__Supplementary_files_format_and_content: [.txt] processed data files are text files with count data, where columns equal to samples and rows equal to genes",GPL18460,"Christoph,,Ziegenhain",ziegenhain@bio.lmu.de,Anthropology & Human genomics,Department Biology II,Ludwig-Maximilians University Munich,Großhaderner Str. 2,Martinsried,Bavaria,82152,Germany,Illumina HiSeq 1500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05220089__SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1835183,NONE,GSE83142,0,RNA-Seq,PRJNA325123,SAMN05220089,PDX cell,GEO,public,SRX1835183,GSM2195043,Illumina HiSeq 1500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,BCP-ALL pediatric,ILLUMINA,GSM2195043,PDX Sample ALL-265,SRP076334,NOD scid gamma,NA,LRC,single-end,51,51 bp,ALL,Acute lymphoblastic leukemia,PDX,BCP-ALL pediatric,Single-cell,LRC,1,0,0,0,0,0,0,0,0,0,0,0,1,B/Plasma cell,Clear,BCP-ALL pediatric,Malignant cell
SRR3654862,single-cell RNA-seq M1288 LRC_13,GSM2195044,Public on Dec 06 2016,Jun 09 2016,May 15 2019,SRA,1,PDX Sample ALL-265,Homo sapiens,9606,patient: BCP-ALL pediatric__mouse id: NOD scid gamma__cell type: PDX cell__cell status: LRC,human patient cells are grown as patient-derived xenograft cells in immunodeficient NOD scid gamma mice and re-isolated from bone marrow,total RNA,"cDNA synthesis protocol: cells were loaded on the 10-17 μm mRNA-seq IFC (Fluidigm) with ERCC spike-in controls. Cell lysis, reverse transcription and pre-amplification of cDNA was done on-chip using the SMARTer Ultra Low RNA Kit for C1 (Clontech).__0.2-1 ng of pre-amplified cDNA was used as input for tagmentation by the Nextera XT Sample Preparation Kit (Illumina), where amplification was performed for 12-14 PCR cycles.__Cells were isolated from the murine bone marrow, enriched by a MACS step and sorted for the population of interest. All steps were performed at 4°C.",LRC_13__processed data file: single_cell_countdata_LRC_validcells.txt,"Sequencing reads were demultiplexed from the Nextera (i5 and i7) indices using deML (Renaud 2014, Bioinformatics)__Demultiplexed reads were aligned to the human genome (hg19) and ERCC reference using NextGenMap (Sedlazeck et al., 2013)__Count data was generated from mapped reads using featureCounts (Liao et al., 2014) on ENSEMBL gene models (GRCh38.74)__Genome_build: hg19__Supplementary_files_format_and_content: [.txt] processed data files are text files with count data, where columns equal to samples and rows equal to genes",GPL18460,"Christoph,,Ziegenhain",ziegenhain@bio.lmu.de,Anthropology & Human genomics,Department Biology II,Ludwig-Maximilians University Munich,Großhaderner Str. 2,Martinsried,Bavaria,82152,Germany,Illumina HiSeq 1500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05220090__SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1835184,NONE,GSE83142,0,RNA-Seq,PRJNA325123,SAMN05220090,PDX cell,GEO,public,SRX1835184,GSM2195044,Illumina HiSeq 1500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,BCP-ALL pediatric,ILLUMINA,GSM2195044,PDX Sample ALL-265,SRP076334,NOD scid gamma,NA,LRC,single-end,51,51 bp,ALL,Acute lymphoblastic leukemia,PDX,BCP-ALL pediatric,Single-cell,LRC,1,1,0,0,0,0,0,0,0,0,0,0,0,B/Plasma cell,Clear,BCP-ALL pediatric,Malignant cell
SRR3654863,single-cell RNA-seq M1288 LRC_14,GSM2195045,Public on Dec 06 2016,Jun 09 2016,May 15 2019,SRA,1,PDX Sample ALL-265,Homo sapiens,9606,patient: BCP-ALL pediatric__mouse id: NOD scid gamma__cell type: PDX cell__cell status: LRC,human patient cells are grown as patient-derived xenograft cells in immunodeficient NOD scid gamma mice and re-isolated from bone marrow,total RNA,"cDNA synthesis protocol: cells were loaded on the 10-17 μm mRNA-seq IFC (Fluidigm) with ERCC spike-in controls. Cell lysis, reverse transcription and pre-amplification of cDNA was done on-chip using the SMARTer Ultra Low RNA Kit for C1 (Clontech).__0.2-1 ng of pre-amplified cDNA was used as input for tagmentation by the Nextera XT Sample Preparation Kit (Illumina), where amplification was performed for 12-14 PCR cycles.__Cells were isolated from the murine bone marrow, enriched by a MACS step and sorted for the population of interest. All steps were performed at 4°C.",LRC_14__processed data file: single_cell_countdata_LRC_validcells.txt,"Sequencing reads were demultiplexed from the Nextera (i5 and i7) indices using deML (Renaud 2014, Bioinformatics)__Demultiplexed reads were aligned to the human genome (hg19) and ERCC reference using NextGenMap (Sedlazeck et al., 2013)__Count data was generated from mapped reads using featureCounts (Liao et al., 2014) on ENSEMBL gene models (GRCh38.74)__Genome_build: hg19__Supplementary_files_format_and_content: [.txt] processed data files are text files with count data, where columns equal to samples and rows equal to genes",GPL18460,"Christoph,,Ziegenhain",ziegenhain@bio.lmu.de,Anthropology & Human genomics,Department Biology II,Ludwig-Maximilians University Munich,Großhaderner Str. 2,Martinsried,Bavaria,82152,Germany,Illumina HiSeq 1500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05220091__SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1835185,NONE,GSE83142,0,RNA-Seq,PRJNA325123,SAMN05220091,PDX cell,GEO,public,SRX1835185,GSM2195045,Illumina HiSeq 1500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,BCP-ALL pediatric,ILLUMINA,GSM2195045,PDX Sample ALL-265,SRP076334,NOD scid gamma,NA,LRC,single-end,51,51 bp,ALL,Acute lymphoblastic leukemia,PDX,BCP-ALL pediatric,Single-cell,LRC,1,0,0,0,0,0,0,0,0,0,0,0,1,B/Plasma cell,Clear,BCP-ALL pediatric,Malignant cell
SRR3654864,single-cell RNA-seq M1288 LRC_18,GSM2195046,Public on Dec 06 2016,Jun 09 2016,May 15 2019,SRA,1,PDX Sample ALL-265,Homo sapiens,9606,patient: BCP-ALL pediatric__mouse id: NOD scid gamma__cell type: PDX cell__cell status: LRC,human patient cells are grown as patient-derived xenograft cells in immunodeficient NOD scid gamma mice and re-isolated from bone marrow,total RNA,"cDNA synthesis protocol: cells were loaded on the 10-17 μm mRNA-seq IFC (Fluidigm) with ERCC spike-in controls. Cell lysis, reverse transcription and pre-amplification of cDNA was done on-chip using the SMARTer Ultra Low RNA Kit for C1 (Clontech).__0.2-1 ng of pre-amplified cDNA was used as input for tagmentation by the Nextera XT Sample Preparation Kit (Illumina), where amplification was performed for 12-14 PCR cycles.__Cells were isolated from the murine bone marrow, enriched by a MACS step and sorted for the population of interest. All steps were performed at 4°C.",LRC_18__processed data file: single_cell_countdata_LRC_validcells.txt,"Sequencing reads were demultiplexed from the Nextera (i5 and i7) indices using deML (Renaud 2014, Bioinformatics)__Demultiplexed reads were aligned to the human genome (hg19) and ERCC reference using NextGenMap (Sedlazeck et al., 2013)__Count data was generated from mapped reads using featureCounts (Liao et al., 2014) on ENSEMBL gene models (GRCh38.74)__Genome_build: hg19__Supplementary_files_format_and_content: [.txt] processed data files are text files with count data, where columns equal to samples and rows equal to genes",GPL18460,"Christoph,,Ziegenhain",ziegenhain@bio.lmu.de,Anthropology & Human genomics,Department Biology II,Ludwig-Maximilians University Munich,Großhaderner Str. 2,Martinsried,Bavaria,82152,Germany,Illumina HiSeq 1500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05220092__SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1835186,NONE,GSE83142,0,RNA-Seq,PRJNA325123,SAMN05220092,PDX cell,GEO,public,SRX1835186,GSM2195046,Illumina HiSeq 1500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,BCP-ALL pediatric,ILLUMINA,GSM2195046,PDX Sample ALL-265,SRP076334,NOD scid gamma,NA,LRC,single-end,51,51 bp,ALL,Acute lymphoblastic leukemia,PDX,BCP-ALL pediatric,Single-cell,LRC,1,0,0,0,0,0,0,0,0,0,0,0,0,B/Plasma cell,Clear,BCP-ALL pediatric,Malignant cell
SRR3654865,single-cell RNA-seq M1288 LRC_19,GSM2195047,Public on Dec 06 2016,Jun 09 2016,May 15 2019,SRA,1,PDX Sample ALL-265,Homo sapiens,9606,patient: BCP-ALL pediatric__mouse id: NOD scid gamma__cell type: PDX cell__cell status: LRC,human patient cells are grown as patient-derived xenograft cells in immunodeficient NOD scid gamma mice and re-isolated from bone marrow,total RNA,"cDNA synthesis protocol: cells were loaded on the 10-17 μm mRNA-seq IFC (Fluidigm) with ERCC spike-in controls. Cell lysis, reverse transcription and pre-amplification of cDNA was done on-chip using the SMARTer Ultra Low RNA Kit for C1 (Clontech).__0.2-1 ng of pre-amplified cDNA was used as input for tagmentation by the Nextera XT Sample Preparation Kit (Illumina), where amplification was performed for 12-14 PCR cycles.__Cells were isolated from the murine bone marrow, enriched by a MACS step and sorted for the population of interest. All steps were performed at 4°C.",LRC_19__processed data file: single_cell_countdata_LRC_validcells.txt,"Sequencing reads were demultiplexed from the Nextera (i5 and i7) indices using deML (Renaud 2014, Bioinformatics)__Demultiplexed reads were aligned to the human genome (hg19) and ERCC reference using NextGenMap (Sedlazeck et al., 2013)__Count data was generated from mapped reads using featureCounts (Liao et al., 2014) on ENSEMBL gene models (GRCh38.74)__Genome_build: hg19__Supplementary_files_format_and_content: [.txt] processed data files are text files with count data, where columns equal to samples and rows equal to genes",GPL18460,"Christoph,,Ziegenhain",ziegenhain@bio.lmu.de,Anthropology & Human genomics,Department Biology II,Ludwig-Maximilians University Munich,Großhaderner Str. 2,Martinsried,Bavaria,82152,Germany,Illumina HiSeq 1500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05220093__SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1835187,NONE,GSE83142,0,RNA-Seq,PRJNA325123,SAMN05220093,PDX cell,GEO,public,SRX1835187,GSM2195047,Illumina HiSeq 1500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,BCP-ALL pediatric,ILLUMINA,GSM2195047,PDX Sample ALL-265,SRP076334,NOD scid gamma,NA,LRC,single-end,51,51 bp,ALL,Acute lymphoblastic leukemia,PDX,BCP-ALL pediatric,Single-cell,LRC,1,0,0,0,0,0,0,0,0,0,0,0,1,B/Plasma cell,Clear,BCP-ALL pediatric,Malignant cell
SRR3654866,single-cell RNA-seq M3000-94 non-treated ctrl10,GSM2195048,Public on Dec 06 2016,Jun 09 2016,May 15 2019,SRA,1,PDX Sample ALL-199,Homo sapiens,9606,patient: BCP-ALL pediatric__mouse id: NOD scid gamma__cell type: PDX cell__treatment: non-treated,human patient cells are grown as patient-derived xenograft cells in immunodeficient NOD scid gamma mice and re-isolated from bone marrow,total RNA,"cDNA synthesis protocol: cells were loaded on the 10-17 μm mRNA-seq IFC (Fluidigm) with ERCC spike-in controls. Cell lysis, reverse transcription and pre-amplification of cDNA was done on-chip using the SMARTer Ultra Low RNA Kit for C1 (Clontech).__0.2-1 ng of pre-amplified cDNA was used as input for tagmentation by the Nextera XT Sample Preparation Kit (Illumina), where amplification was performed for 12-14 PCR cycles.__Cells were isolated from the murine bone marrow, enriched by a MACS step and sorted for the population of interest. All steps were performed at 4°C.",ctrl10__processed data file: ALL199_MRD_counts.txt,"Sequencing reads were demultiplexed from the Nextera (i5 and i7) indices using deML (Renaud 2014, Bioinformatics)__Demultiplexed reads were aligned to the human genome (hg19) and ERCC reference using NextGenMap (Sedlazeck et al., 2013)__Count data was generated from mapped reads using featureCounts (Liao et al., 2014) on ENSEMBL gene models (GRCh38.74)__Genome_build: hg19__Supplementary_files_format_and_content: [.txt] processed data files are text files with count data, where columns equal to samples and rows equal to genes",GPL18460,"Christoph,,Ziegenhain",ziegenhain@bio.lmu.de,Anthropology & Human genomics,Department Biology II,Ludwig-Maximilians University Munich,Großhaderner Str. 2,Martinsried,Bavaria,82152,Germany,Illumina HiSeq 1500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05220094__SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1835188,NONE,GSE83142,0,RNA-Seq,PRJNA325123,SAMN05220094,PDX cell,GEO,public,SRX1835188,GSM2195048,Illumina HiSeq 1500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,BCP-ALL pediatric,ILLUMINA,GSM2195048,PDX Sample ALL-199,SRP076334,NOD scid gamma,non-treated,NA,single-end,51,51 bp,ALL,Acute lymphoblastic leukemia,PDX,BCP-ALL pediatric,Single-cell,NA,5,0,0,0,0,0,1,0,0,0,0,0,1,B/Plasma cell,Undecided,BCP-ALL pediatric,Malignant cell
SRR3654867,single-cell RNA-seq M3000-94 non-treated ctrl105,GSM2195049,Public on Dec 06 2016,Jun 09 2016,May 15 2019,SRA,1,PDX Sample ALL-199,Homo sapiens,9606,patient: BCP-ALL pediatric__mouse id: NOD scid gamma__cell type: PDX cell__treatment: non-treated,human patient cells are grown as patient-derived xenograft cells in immunodeficient NOD scid gamma mice and re-isolated from bone marrow,total RNA,"cDNA synthesis protocol: cells were loaded on the 10-17 μm mRNA-seq IFC (Fluidigm) with ERCC spike-in controls. Cell lysis, reverse transcription and pre-amplification of cDNA was done on-chip using the SMARTer Ultra Low RNA Kit for C1 (Clontech).__0.2-1 ng of pre-amplified cDNA was used as input for tagmentation by the Nextera XT Sample Preparation Kit (Illumina), where amplification was performed for 12-14 PCR cycles.__Cells were isolated from the murine bone marrow, enriched by a MACS step and sorted for the population of interest. All steps were performed at 4°C.",ctrl105__processed data file: ALL199_MRD_counts.txt,"Sequencing reads were demultiplexed from the Nextera (i5 and i7) indices using deML (Renaud 2014, Bioinformatics)__Demultiplexed reads were aligned to the human genome (hg19) and ERCC reference using NextGenMap (Sedlazeck et al., 2013)__Count data was generated from mapped reads using featureCounts (Liao et al., 2014) on ENSEMBL gene models (GRCh38.74)__Genome_build: hg19__Supplementary_files_format_and_content: [.txt] processed data files are text files with count data, where columns equal to samples and rows equal to genes",GPL18460,"Christoph,,Ziegenhain",ziegenhain@bio.lmu.de,Anthropology & Human genomics,Department Biology II,Ludwig-Maximilians University Munich,Großhaderner Str. 2,Martinsried,Bavaria,82152,Germany,Illumina HiSeq 1500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05220095__SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1835189,NONE,GSE83142,0,RNA-Seq,PRJNA325123,SAMN05220095,PDX cell,GEO,public,SRX1835189,GSM2195049,Illumina HiSeq 1500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,BCP-ALL pediatric,ILLUMINA,GSM2195049,PDX Sample ALL-199,SRP076334,NOD scid gamma,non-treated,NA,single-end,51,51 bp,ALL,Acute lymphoblastic leukemia,PDX,BCP-ALL pediatric,Single-cell,NA,0,0,0,0,0,0,1,1,0,0,0,0,0,B/Plasma cell,Undecided,BCP-ALL pediatric,Malignant cell
SRR3654868,single-cell RNA-seq M3000-94 non-treated ctrl11,GSM2195050,Public on Dec 06 2016,Jun 09 2016,May 15 2019,SRA,1,PDX Sample ALL-199,Homo sapiens,9606,patient: BCP-ALL pediatric__mouse id: NOD scid gamma__cell type: PDX cell__treatment: non-treated,human patient cells are grown as patient-derived xenograft cells in immunodeficient NOD scid gamma mice and re-isolated from bone marrow,total RNA,"cDNA synthesis protocol: cells were loaded on the 10-17 μm mRNA-seq IFC (Fluidigm) with ERCC spike-in controls. Cell lysis, reverse transcription and pre-amplification of cDNA was done on-chip using the SMARTer Ultra Low RNA Kit for C1 (Clontech).__0.2-1 ng of pre-amplified cDNA was used as input for tagmentation by the Nextera XT Sample Preparation Kit (Illumina), where amplification was performed for 12-14 PCR cycles.__Cells were isolated from the murine bone marrow, enriched by a MACS step and sorted for the population of interest. All steps were performed at 4°C.",ctrl11__processed data file: ALL199_MRD_counts.txt,"Sequencing reads were demultiplexed from the Nextera (i5 and i7) indices using deML (Renaud 2014, Bioinformatics)__Demultiplexed reads were aligned to the human genome (hg19) and ERCC reference using NextGenMap (Sedlazeck et al., 2013)__Count data was generated from mapped reads using featureCounts (Liao et al., 2014) on ENSEMBL gene models (GRCh38.74)__Genome_build: hg19__Supplementary_files_format_and_content: [.txt] processed data files are text files with count data, where columns equal to samples and rows equal to genes",GPL18460,"Christoph,,Ziegenhain",ziegenhain@bio.lmu.de,Anthropology & Human genomics,Department Biology II,Ludwig-Maximilians University Munich,Großhaderner Str. 2,Martinsried,Bavaria,82152,Germany,Illumina HiSeq 1500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05220096__SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1835190,NONE,GSE83142,0,RNA-Seq,PRJNA325123,SAMN05220096,PDX cell,GEO,public,SRX1835190,GSM2195050,Illumina HiSeq 1500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,BCP-ALL pediatric,ILLUMINA,GSM2195050,PDX Sample ALL-199,SRP076334,NOD scid gamma,non-treated,NA,single-end,51,51 bp,ALL,Acute lymphoblastic leukemia,PDX,BCP-ALL pediatric,Single-cell,NA,5,0,0,0,0,0,1,0,0,0,0,0,0,B/Plasma cell,Undecided,BCP-ALL pediatric,Malignant cell
